artTitle,artContent,artDate,artUrl
[問題]旗津有oBike嗎?,",星期日要去旗津玩，查了一下Cbike離碼頭有點距離,不小的最近廣告打很兇的oBike有沒有進駐旗津,碼頭附近的數量多嗎?,-------------(以上可按Ctrl+y刪除)-----------------,不管你要問什麼，都別忘了附上『高雄點』(我是高雄人或我曾住在高雄不能當高雄點喔)高雄點定義請參閱板規1-2,",2017-06-29T13:55:36.000Z,http://www.ptt.cc/bbs/Kaohsiung/M.1498744900.A.6B3.html
Re:[新聞]林義守批輕軌佔市區車道　應高架或地下化,",大魯閣的開發規模跟義大根本不能比好嗎?,你拿透天厝跟高樓住宅建案的申請來比較???,你知道開發越大環評要顧慮的東西越多嗎??,你知道透天厝蓋個三五樓跟三十幾層的大樓工時差很多嗎?,再說B館之所以進度慢完全是義聯自己不老實好嗎?,你知道他現在動土的案子基本上根本跟原來的設計整個大改嗎?,你知道他本來是想看能不能蓋一下類似豪宅的空間賣出去嗎?,現在變更案還在審他可以動工應該是用舊案的照來先動土你知道嗎?,當然要支持啊但每次林董發言就只會說都是別人不配合他,完全都不提自己的問題.......",2017-06-28T08:24:45.000Z,http://www.ptt.cc/bbs/Kaohsiung/M.1498638648.A.4D3.html
Re:[新聞]林義守批輕軌佔市區車道　應高架或地下化,",怕什麼你看看台中這才是政策啊~,110年起指定區域禁行燃油機車,增訂BRT除藍線外必須使用電動車,〔記者張菁雅／台中報導〕市議會法規委員會廿七日審查「台中市低碳城市,發展自治條例」草案，議員認為部分條文內容不夠積極，將原訂一○五年,起在指定區域禁行二行程機車，修正為一一○年起在指定區域禁行燃油機,車；另增訂條文，要求快捷公車（ＢＲＴ）除藍線外，其餘路線使用的車,輛必須是電動車。「台中市低碳城市發展自治條例」草案條文共有五十條，由於內容影響民眾,生活甚鉅，法規委員會逐條審議。其中，市府原訂自一○五年起在指定區,域禁行二行程機車，議員李中表示，二行程機車幾乎已經消失，禁行二行,程機車沒有意義，「要做就玩真的」，應該禁行燃油機車，考量一一○年,時快捷公車路網已完成，今年新買的機車屆時也使用七、八年了，因此應從一一○年起一月一日起在指定區域禁行燃油機車。指定區域應選擇排碳量高的地方,議員洪嘉鴻也表示，指定區域將由市府公告，為確實達到減碳的效果，應該選擇排碳量高的地方劃設為禁行燃油機車區域，如火車站及西區、西屯,區等處商圈，民眾對此可能會反彈，但市府必須有理想與決心去推動。另外，草案也規定市區公共運輸業購置車輛以低碳車輛為原則，議員蔡雅玲指出，市府不能只要求民間配合減碳，自己購置的快捷公車車輛卻使用柴油車，應在該條文新增規定，快捷公車除藍線外，其餘路線必須使用電動車，如果台中市可以做到，環保將邁出一大步。法規委員會對上述修正達成共識，在禁行燃油機車的部分，同時新增市府,應訂定獎勵補助辦法，鼓勵民眾汰換燃油機車改買電動機車。另外，草案還有禁止寺廟燃燒紙錢、禁用保麗龍餐具等條文，因爭議性較大，法規委員會將擇期審議。解決問題還不簡單直接從自治條例上面更動禁行機車+輕軌+obike整條,大順路大翻身怕什麼交通黑暗期直接轉型成宜民宜居環保模範道路了,",2017-06-28T14:02:29.000Z,http://www.ptt.cc/bbs/Kaohsiung/M.1498658911.A.FDE.html
[新聞]搭捷運好無聊！男滑入胸前「溫牛奶」　女友用這招羞回,搭捷運好無聊！男滑入胸前「溫牛奶」　女友用這招羞回2017/06/2808:52:00生活中心／綜合報導現代人越來越開放了？有網友日前在高雄捷運直擊一對情侶大庭廣眾下觸摸私密部位，男子不但將手伸入女友的胸前滑動，女友也當場「抓下體」回應，讓網友看得超傻眼，直呼：「看來現在外套也不用了！」網友在臉書《爆料公社》中PO出影片，只見一對男女靠在捷運的把手處，男子將女友抱在懷中，一同看著手機中播放的影片，沒想到下一秒男子的手就直接伸入女友胸前撫摸。之後兩人的姿勢由環抱轉成摟腰，女子的手開始不斷在下半身游移，還「一把」抓了男友重要部位，讓一旁網友忍不住表示，「竟然在高雄捷運上....」網友見狀紛紛留言，「是不能溫牛奶嗎？」、「我以為女生很理智把手拿開，結果我錯了」、「調皮、搗蛋、耍寶」、「好熱情的高雄」、「車站蚊子多，剛被叮得有點癢，只是互相幫忙抓一下」，還有網友好心提醒，「請緊握扶手，站穩踏間」。****根據剛剛小道消息這兩位被肉搜出員編跟姓名了...在公共場所前面有人時還是別太囂張...,2017-06-28T06:17:38.000Z,http://www.ptt.cc/bbs/Kaohsiung/M.1498631025.A.FAF.html
[問題]捷運可到的醫院？,",請問大家，有哪些醫院（有小兒科）是在捷運附近，走路十分鐘內可到呢？想帶寶寶去打卡介苗,坐捷運比較方便謝謝！",2017-06-29T01:35:11.000Z,http://www.ptt.cc/bbs/Kaohsiung/M.1498700474.A.81B.html
[閒聊]如果當初高捷紅橘藍棕四線都有蓋的話?,",如果當初規劃高運量四線時期,藍棕線沒被降等或廢線,那現今高捷應該就不一樣了,日均運量應該就不只現在的18萬人次了,當初如果四線都有蓋成的話,現在高雄肯定不一樣吧,-----------------(以下請勿刪除)---------------------------------,高雄板非心情板、個板，無關高雄廣泛市民之文章請勿張貼。例如：我家隔壁的母貓生了小貓、對面的阿婆一個人獨居之類的。這裡是高雄板，請討論與多數高雄市民有直接關聯性的文章。高雄點請參考板規1-2,修改文章標題請於文章列表按大寫T,修改文章內文請於文章列表按大寫E,同性質文章請以大E修改內文方式加註，請勿於板上重覆多發,",2017-06-29T02:53:58.000Z,http://www.ptt.cc/bbs/Kaohsiung/M.1498705200.A.D8C.html
輕軌沒人坐？,",現在在輕軌上，滿滿都是人一定有啥誤會？",2017-07-01T02:34:35.000Z,http://www.ptt.cc/bbs/Kaohsiung/M.1498876838.A.D94.html
Re:[轉錄]最新縣市公共運輸使用率&前瞻捷運預,",剛才看了一下交通部公布的數據,裡面有98~105年公共運輸市佔率,高雄的公共運輸市占率只從9.1→9.3中間最高是103年9.4捷運通車了10年,過去8年來卻只有這樣的成長,的確是值得檢討,另外沒有捷運的台中:9.1→12.2桃園:13.8→15.0然後私人載具市占率也是,8年來六都只有高雄跟台南正成長,",2017-06-30T07:17:23.000Z,http://www.ptt.cc/bbs/Kaohsiung/M.1498807405.A.846.html
Re:[閒聊]obike.....無言，停車空間的佔用者,",小港新成立的駐車場,把obike丟進去,兩個強碰應該會發現這種沒人管的車子,問題應該很嚴重,Obike上的零件拆拔跟損壞只是早晚的事而己好概念！可是管理方式是很爛的方法,-----,SentfromJPTTonmyiPhone,",2017-06-27T03:39:44.000Z,http://www.ptt.cc/bbs/Kaohsiung/M.1498535146.A.AC4.html
Re:[新聞]自小客撞輕軌BMW車牌掉、輕軌多處損壞,",因為每天都會經過鎮興與凱旋那個路口觀察到以往沒有輕軌的時候不管是機車還是汽車,就很愛停在平交道等紅燈了長久以來習慣養成就很容易想要偷紅燈秒數,因為以前沒有火車經過所以偷不到就停在平交道也無所謂現在當然無法這樣,但是行車習慣要改是何其難只能靠時間與處罰來想辦法至於後者就........而從凱旋要右轉鎮興的轉彎明明就說是要等右轉燈亮才可以走,也是因為上述的習慣所至不管機車還是汽車就很愛直接右轉明明鎮興路口是紅燈,硬是要停在平交道前方等那不就跟在凱旋等右轉燈是一樣意思嗎？另外其實這個路口是禁止左轉的路口明明就有個很大的禁止左轉,但就是一堆車子很愛右轉過後硬是要左轉車子停在路口等左轉,自然而然就容易回堵後方車輛而後方就正是輕軌的行經路線看好幾次都差一點撞到,所以在目前無處罰的狀況下只能讓時間慢慢去適應了,天天經過對亂象好像也習以為常畢竟守法素質不是一天兩天的事再加上政府又不積極,只能說大順路開下去就真的變成沒出事才是新聞了吧！",2017-06-26T09:47:34.000Z,http://www.ptt.cc/bbs/Kaohsiung/M.1498470817.A.D74.html
