"x"
"1",NA
"2","東安國小及附設幼稚園的寶貝們，個個天真可愛、精神抖擻，不愧是我們國家未來的主人翁！"
"3","當天現場的氣氛既溫馨又感人！"
"4","100年度績優治安示範社區認證標章揭牌典禮"
"5",NA
"6","國民黨祝天下的媽媽母親節快樂！！"
"7","龍潭  龍元宮  五縠爺聖誕祭祀典禮"
"8","玉玲要求教育部部長針對英聽檢測的公平性做嚴格的把關，另對近日在國外有優異成績表現的團體，玉玲希望多元技能人才的栽培、有效專業的輔導，為國爭光。"
"9","玉玲強力要求相關各部會要齊心協力做到培育人才預防人才流失的方案；針對高學歷的就業也要適才適用，除留在學術界服務外，在產業界也要結合並學以致用，發揮專長。"
"10","這次要感謝平鎮市公所陳市長及各里里辦公室所有里長的熱忱付出，今年的重陽敬老活動希望能帶給鄉親長輩溫馨及開心的感受。近日感謝天公作美，在秋高氣爽、風和日麗的天氣下，玉玲看到各位長輩齊聚一堂，內心非常感動。期盼做子女的我們能及時行孝，寶貝我們的老人家，祝福大家闔家幸福美滿§吉祥如意！"
"11","http://youtu.be/zgt8CG_JjJY
玉玲強調有感施政 就是要拚景氣 讓士農工商大家一起好
取消軍公教慰問金必須兼顧尊嚴與同理心"
"12",NA
"13",NA
"14",NA
"15",NA
"16","今天玉玲經過機場發現不少朋友都把握這幾天假期，出國旅遊，先前玉玲就發現到於外交部辦理國人護照業務，護照規費為每本新台幣1,600 元期效為10 年。但未滿14 歲之兒童及役男三到五年的期效，每本收費新台幣1,200 元。而依目前我國教育之普及，服役平均年齡約21 歲，若就讀到研究所或博士班，服役年齡更可能拉長至32 歲，我國每年役男人數約10 萬人，未役但人數約兩百萬人，每年出國旅遊觀光之役男人數不計其數，但役男護照期效過短僅僅3年收費過高不符合比例原則，導致多數役男每隔三年必須更換一次護照，徒增麻煩，針對這種情形玉玲已經在立法院提案要求行政院研議降低役男護照之規費至400 元新台幣，也得到了許多委員的支持，類似的民生問題玉玲會繼續在國會為大家把關!!祝大家有個美好的跨年之旅唷!"
"17",NA
"18","剛剛玉玲參加教育部繼往開來活動記者會!這次記者會主要就是今年開始我們的教育部合併了體育署與青年發展署!代表未來我們的體育將向下扎根同時青年的發展也將以新的形態為我們青年朋友服務!在這2013年開工的第一天玉玲祝大家新年新氣象!大家都能除舊布新2013年脫胎換骨唷!"
"19","玉玲跟市長今天來到復旦國小參加一個相當有意義的活動！小傳愛背包！今天剛好也是國小結業式，現場來了多位小朋友擔任我的傳愛小天使，大家可以把家中不玩的玩具等資源，一份一份傳下去，讓愛圍繞這些小朋友"
"20",NA
"21",NA
"22","玉玲跟大家報告一下，在跑地方時玉玲常常聽到平鎮鄉親詢問有關 台鐵平鎮站的問題，先前相關單位也有來到我們平鎮舉辦說明會，桃縣府交通局的政策說明，其中，路線的可行方案有二：（1）從中豐陵橋以南到臺66快速道路橋下以北，沿著臺鐵既有軌道路廊新設 2.3公里永久軌，臨時軌 2.9公里並在ＶＫ69又 750公尺處設平鎮站，此方案預計花費45億。（2）永久軌路線起於中豐陸橋以北，止於臺66快速道路以南約 380公尺處，同樣在ＶＫ69又 750公尺處設平鎮站。此方案則預計花費40億，如此一來，可行行方案在配合台鐵捷運化，平鎮市要設立新車站，八字已有一撇！ 玉玲會繼續在國會跟市長一同幫大家盯緊!!!"
"23","玉玲這次提案  主要是針對酒駕這類高再犯率的犯罪行為，讓檢察官可以有羈押的權限，其他類似毒品案件與其他公共危險罪也可以已羈押的方式避免犯罪人第一時間再犯的可能,而酒駕與毒品案件對我們社會造成相當大的損失，在修法的同時還是要呼籲大家，能夠先想想家人，想想他人 喝酒不開車，毒品碰不得

http://www.appledaily.com.tw/realtimenews/article/new/20130130/164031"
"24","春節期間飯局多多~提醒大家~~酒後不開車  開車肇事更不要逃逸!盡量以大眾交通工具出席聚會，或者指定安全駕駛，才能保障大家的生命安全"
"25","http://udn.com/NEWS/BREAKINGNEWS/BREAKINGNEWS1/7683474.shtml"
"26","昨天是方公司的火災，燒出了台灣網路建設的缺陷，機房跟電纜過度集中沒有風險分散，讓昨天堪稱網路末日。玉玲今天在國會立馬提案要求ncc立即檢討！"
"27","昨天看到這分資料，幾乎快讓玉玲昏倒！沒想到還是自己選區的新聞，老師有幽默感是好事，但與低俗之間的拿捏相當重要，這則例子是最好範本，玉玲希望教育部能強化師資教育跟審核機制，別讓孔子也吐血  http://www.appledaily.com.tw/appledaily/article/headline/20130302/34862148/"
"28","連結是昨天玉玲在國會針對江院長所提出的政黨質詢內容，期間玉玲針對油電雙漲與國營企業不當投資等等問題提出把關與質詢，各位好友可以看看  也歡迎大家把意見交流

http://www.youtube.com/watch?v=2tn2VmjBtjM&feature=youtu.be"
"29","先前  埃及發生熱氣球爆炸意外造數人死亡的意外，玉玲研究後發現我國遊樂園的管理不夠明確，為了建立一個安全的遊樂空間，玉玲將提案要求行政院納入管理"
