"x"
"1","其實我們在努力的就是要讓國民黨負責，國民黨最大要怎麼負責？就是下台，沒有資格在台北市執政。坦白說我們做了所有的努力不是要做這樣嗎？

要不然的話繼續提名依照過去，民進黨過去那麼有誠意，提了陳水扁、謝長廷、蘇貞昌，都是全民進黨精英，過去在每個地方在高雄、新北市，陳水扁，謝長廷，過去在首都連任的時候市政滿意度７、８成，誰負責？７、８成的時候為什麼是選到馬英九呢？

馬英九帶給台北市的是什麼？剛剛說軸線翻轉，那些口號都不要講了。

我們一個社子島４０年沒有動靜。每次在選舉時講黃金曼哈頓，我們剛剛講美河市、雙子星可以這樣長驅直入、財團政商，把台北市的資源、資產挖空殆盡、不必負責任，還要講什麼負責。

坦白說，我要不是為了看到說這樣的一個台北市不把他換掉，我提這個「在野大團結」的機制要做什麼，這個機制出來的就是民進黨的候選人。這個機制出來的民進黨都是人才濟濟，哪一個人才會輸給國民黨？那一個會輸給連勝文？

我跟大家講，連勝文是這裡面最老的候選人。他為什麼最老？因為他是連家三代的政商結構，從國民黨的貪腐集團延續到今天，竟然這樣的幽靈盤據在台北市沒有辦法改變。

他不夠老嗎？他如果不是這麼老，他在任何公職的經驗都沒有，他有什麼資格有這樣的民調。如果不是台北市這樣盤根錯結的一個政治幽靈存在，沒有辦法改變、沒有負過責任。
https://www.youtube.com/watch?v=yDaqMYCmlFE&feature=youtube_gdata_player"
"2","提出振奮人心，真誠解決台北市長人選問題

#打敗國民黨台北夢

一手推動高雄市愛河景觀改造，讓高雄市從工業都市搖身一變成為觀光都市的姚文智，對城市規劃來說，高雄市是很好的經驗。

轉貼～
姚文智分享了 1 條連結。

「兩階段民調」，先由民進黨內目前慣採的徵召民調推出本黨人選，再與非民進黨籍而經黨中央認可的無黨籍或其他優秀人士，如柯文哲醫師、馮光遠先生等，他們可選擇以無黨籍身分，進行第二階段對比式民調，勝者得到所有勢力的支持，此民調進行時機亦不急於一時，即使延至國民黨推出候選人仍不嫌遲。這其中自然有賴黨中央主動與其他在野人士冾商，找出互信整合之道。

我的主張雖與柯文哲醫師所提「在野大聯盟」接近卻略有差異，第一、民進黨作為最大在野黨必須主導整個作業；第二、參與此聯盟之人選需經民進黨同意，才能完成「在野大團結」。

為了推動民進黨在台北市長提名「兩階段民調」，我將辭去徵詢小組成員，並保留接受上述機制的空間。若民進黨採行此機制，我願意扮演傳動軸的角色，身體力行，參與台北市長提名民調作業。

https://www.youtube.com/watch?v=fdy1mCYYPdE&feature=youtube_gdata_player 


#台北夢 大家ㄧ起來～
河右岸城市論壇
http://pasuya.tw/index.php"
"3","姚文智：廢除松山機場、公辦都更，翻轉台北的兩帖良藥！"
"4","姚文智：
柯文哲說台北市長第一件事是拆除忠孝西路公車專用道 ，顧立雄也拍了CF說這是擺爛 ，他也要拆了它。
政治素人不約而同，終於講了具體的市政主張，值得鼓勵。但是，這場選舉卻至少浮現相應的兩個問題。
一、政治語言“語不驚人死不修”，什麼外星人、扁蝠、酷吏都出爐 ，滿足媒體八卦，半年來絕無冷場；
二、政策論述卻“欲語還羞”或“終日公休”，勉強擠出忠孝西路專用道，說真的，這只是交通局科長的業務 ，拿來作為市長第一件事，其器小矣 。
馬上要過年 ，距離民調還有些時間 ，但已有愈來愈多選民 ，期待看到市政牛肉 ，呼籲參選市長者，趕快端出來吧 ！"
"5","高捷美麗島站、中央公園站又得到紐約新聞網站票選世界第二、第五名，歡喜欣慰之外，往事也浮上心頭…

特別感謝那時的周禮良局長，為了支持我所鼓吹，蓋兩個世界級車站的夢想，絞盡腦汁，張羅預算，克服萬難。當時高捷BOT案已先減列了400餘億，世界級的建築師我們從當時最紅的Norman Foster, Haha Hadid, Frank O.Gehry.....等逐一邀請，卻因付不出相當的設計費一路被拒絕，眼看著就要開天窗，周局長不輕言放棄 ，找到了日本的高松伸，我也在最後接到英國的Richard Rogers的回應，終於讓兩大捷運站國際化的構想實現 。

已故的高捷副董陳敏賢更加碼找來義大利水仙大師，讓美麗島站以壯麗的玻璃藝術 ，展現於世界的舞台。

回想那時在高雄，在謝長廷市長支持下，周禮良、林欽榮、吳孟德、施並璟這些老同事局處長，大家滿腔熱血，勇往直前，政治的口水謾罵算是小兒科，司法的污蔑構陷讓我的這些老同事飽受凌遲，周禮良放逐他鄉，陳敏賢甚至抑鬱以終，後來雖然每一件都證明清白 ，卻已人事全非 。

智者如謝長廷說，痛苦會過去 ，美麗留下來！，現在高捷以“美麗島”之名，崢嶸於世界舞台，我也回到台北，卻讓更想念起…那些年，我在高雄的兄弟們 ！
#姚文智翻台北"
"6","【姚文智翻台北──只見皮毛的「設計」之都】
 
最近到處都見到台北市政府「世界設計之都」的廣告，這種「出口轉內銷」的政令宣導，被許多人認為是「花我們的錢洗我們的腦」，而倒盡胃口。
 
真正高明的設計，應該以人為本，又能兼顧城市運作的流暢度，讓你看不出刻意設計斧鑿痕跡的匠氣，而充滿讓使用者愉快的人氣。
 
現在台北市政府的許多都市政策，都走偏了方向，只見到皮毛的三流設計，不僅失去空間改造的契機，也陷入後繼者愈來愈難翻轉的困境。
 
就舉重建新北投車站，和新生南路拓寬人行道兩件事情來說吧～
 
新北投車站在民間長期奔走之下，終於能夠回來台北，原本是一件好事，市政府卻以原址部份已是道路為由，要在附近七星公園異地重組。我支持地方人士主張原址重組的理由：原址有周遭山川等環境美學考量，若是無法原址重組，也應整體規劃到交代如何與環境整合。
 
配合「設計之都」要拓寬新生南路三段人行道，這原本也是好事，但若依市府計畫擴大中央分隔島種植路樹，此處下方的<U+7460>公圳恐怕再也沒有「重見天日」的機會。市府則是畏苦怕難的擔心打開水圳道，水源與衛生都不易維持，只會以地磚鋪面、彩繪水圳意象造景，完全以”掩蓋”取代”設計”，背道而馳。
 
講白了，市政府就是把文化當作妝點，只願作點皮毛的「意象」，不願用心細膩處理牽涉各層面的複雜都市政策。過去，我擔任高雄市愛河整治的召集人，將愛河統整為”文化流域”，並挖掘中游岸邊近2公頃的公園設計為「愛河之心」，兼具觀光、生態與防洪之用，才是真正的設計啊！
 
也難怪，當我拜訪法務部長折衝華光社區拆遷過程的人權、文化資產、樹木保護課題的時候，市政府默不吭聲，面對民間的壓力，勉強用測繪的方式「意象保存」，最近則和中央政府爭執計較開發回饋之分回土地不好用。
 
我覺得，非常糟糕的是，台北這座城市的未來，正在被這些權貴二代，一而再再而三的揮霍掉！
#姚文智翻台北"
"7","【姚文智翻台北──這也地上權 那也地上權】
 
這幾年我們的政府像陷入一場名為「設定地上權」的迷夢一般，迫不及待的要將手上所有的公有地透過「設定地上權」的手段變現，特別在土地價值最高的台北市內，無論這些土地上有著生態、文化、歷史等價值、意義的存在，幾乎都無法倖免於難，台鐵的台北機廠就是一例。
 
占地約17公頃，興建於西元1935年日治時代的台北機廠，坐落在台北市市民大道五段的位子，長期做為鐵路車輛的維修與改裝基地，機廠至今仍然保有日治時期的木製模具，這些模具都是珍貴的扁柏、紅檜所製作而成，可以用來鑄造任何型式、部位的火車零件以及機廠內的許多器具。廠內還有很多見證台灣工業發展的歷史文物，時間最為悠久的甚至追朔至西元1889年劉銘傳創設台灣機器局時留下來的蒸氣槌機具。然而台鐵現在以活化自有資產為名，企圖以設定地上權的方式讓財團來開發台北機廠土地，如此就能進帳500億元，來減少負債。
 
台鐵的資產就是國民的資產，台北機廠具有台灣過去鐵路、工業歷史的重要人文意義，如此珍貴的都市公有土地資產，機廠的規畫、使用應該是以國民的公共利益為考量，但現在台鐵打著「資產活化」之名，行販售土地地上權之實，一塊標售出去的公有土地地上權期限短則50年，長則70年，等於是我們這代人把兩代子孫的土地給賣了出去，同時還把這片土地上的歷史回憶給消滅掉。
 
我認為17公頃的機廠土地大部分應該進行保留，不應以「設定地上權」給財團開發商辦，未來規劃則以台灣的鐵道博物館主題園區為主，與台北其它文創園區結合，為台灣留下一個廣大的人文遊憩空間才是一個有遠見、具進步性的作法。
#姚文智翻台北"
"8","明天將公布我的一系列「姚文智翻台北」CF，呼籲所有市長候選人們一起來談市政！
"
"9","1.請按『讚』。
2.請點選『接收通知』
3.請點選『新增到興趣主題清單』
設定完成您就可以隨時掌握及分享【#姚文智翻台北】最近訊息

翻台北 為什麼要翻台北？
因為馬郝執政台北十六載
讓城市走向衰敗 青年肩扛房貸 都市萌生疲態
未來的市長
必須要讓台北翻轉 翻身 台北必須翻兩翻！

姚文智認為
台北市長應該
翻箱倒櫃 清查舊時代弊案
翻天覆地 推動老台北再生

讓老台北翻身新台北
翻台北 代表著夢想與實踐
劍及履及 說到做到 我們一起來翻台北！

【姚文智翻台北】fb專頁網址：
https://www.facebook.com/YaoTurningTaipei"
"10","【姚文智翻台北CF2─公辦都更、老城區再生】
我如果是市長，將擴充專業人力與都更基金，至少三十倍的規模，立即展開老舊城區的「公辦都更」！"
"11","【姚文智翻台北CF3─空港變河港篇】
台北市長應該解決都市發展的問題，一言以蔽之就是東區要減壓、西區要再生，松山機場來變身，剛好可以一舉解決這兩件事情的大手術！
"
"12","【姚文智：選素長，選市長】

到目前為止，作為首都的台北市長選舉，出現兩個過去未曾有過的現象：一是政治素人當道，快人快語，插科打渾，花絮流彈，好不精采！（如臉書矯不矯情，兔女郎派對....等）但卻也伴隨出現另一個令人憂心的現象，即市政議題徹底消失，攸關台北城市未來發展的公共討論，出現史上最迴避、最漠視、最弱智的狀態，幾近不可思議。

    回顧自台北市長開放民選，挑戰市長寶座者均能誠意嚴肅地提出城市願景與論述，1994年長扁之爭即以社區主義vs市民主義各舉大旗論辯較勁；1998年的馬英九雖終証明無能敗家，卻也以軸線翻轉指出方向；2002年李應元的首都中央公園，2006年謝長廷的空港變河港、台北申奧，2010年蘇貞昌雖以較籠統的「超越」為主軸，但推回當時選前十一個月，從花博、新生高弊案衍生的市政討論，早已煙囂塵上。即令國民黨內之競爭，市政討論仍有相當比重。

    2014年的市長選舉，先有馬郝任內的雙子星、美和市弊案未見傾力追究，後有未來2015機埸捷運通車後松山機場存廢，2017世大運如何籌辦，甚至社會住宅、都更、十二年國教、捷運路網等問題都迫在眉睫，卻始終未見市長參選人積極表達，使其成為公共討論的焦點，這種政治素人與公共論述奇特氛圍演變成的「政治跳針」遂成為此次台北市長選舉的危機。

    我是民主進步黨的黨員，上個月，我提出「兩階段民調」機制之目的，除正視公民力量崛起外，更冀盼「擴大民主機制 」整合出最適人選，但倘若政黨之外新生的公民力量卻仍無法發展出相稱、甚至「帶動進步價值」的公共論述，甚至倒退迴避，不著邊際，不但違背我「兩階段民調」之本意，更絕非「民主進步」之正途。

    我原本不準備參選。但基於上述，此時此刻，挺身疾呼，帶動台北城市進步的價值與論述，就成為我責無旁貸的任務。「素人選市長，我來選素長！」，我將以「市長」擬參選人的角色，嚴肅地來選一個「素長」！這所謂的「素長」，是政治上真正的素，也是政策的素，是真正直白、不拐彎抹角，不計選票得失、不討好媚俗、專業且負責任地提出市政願景與具體政策。

    也因為這個「素」，我將扮演一個政策素人，進行一埸選舉實驗。我不造勢、不插旗、不找大老站台、不印製文宣、不設置看板，僅透過演講、記者會、辯論，以及「河右岸城市論壇」網路或臉書宣傳，同時，以「姚文智翻台北」為主軸，密集提出一系列大破大立，翻轉台北的進步政策，爭取市民認同。
#姚文智翻台北"
"13","拍下您的台北觀點，上傳至…
姚文智翻台北
https://www.facebook.com/YaoTurningTaipei 

在 YouTube 上觀看「【姚文智翻台北】廢除松山機場篇」 - https://www.youtube.com/watch?v=0NO-7OXlGbI&feature=youtube_gdata_player

#姚文智翻台北"
"14","姚文智祝賀大家新年快樂！期盼過往的不順心跟台北市一樣「龍馬翻」；願大家健康、事業、愛情、財運都翻兩翻!台北的未來也翻兩翻！
#姚文智翻台北"
"15","王丹在蘋果的專欄提到台北市長選舉，“大家不是在選市長 ，是在選藍綠”，他以久居台北的感受，呼籲媒體與選民應多關心市政的討論 。
王的看法，與我說的選“台北素長”如出一轍。我衷心期待台北市民關心這個城市的未來，否則，我又不是不懂選舉，怎會在媒體與民眾都在追逐新的政治明星的大勢大浪下，甘冒不諱。
2014年選上的市長，要抉擇松山機場的存廢，雙子星首都國門續建，老城區的都更與社會住宅，2017世大運，甚至台北蛻變重生的產業佈局，大家真的不能花點時間版面談談？我不相信。
明天是開工日，我的台北素長選舉要逐一挑起或帶動這些市政話題，這也是我說要“翻台北”的最重要目的 。"
"16","【姚文智翻台北：未來市長應拒絕擅改高中課綱】
 
農曆年前，教育部迅雷不及掩耳地由無歷史專業的「課綱檢核小組」進行「假微調、真改寫」，寫出符合己意的歷史解釋，馬英九想藉此意識形態灌輸下一代，令人髮指。
 
    課綱調整是極其嚴肅的教育議題，我不是放馬後炮，農曆年前我就自問，如果我是台北市長該當如何？答案和台南市賴清德市長表示拒採微調的課綱是一致的。但截至目前，有意角逐市長的候選人，雖有人表達抗議，但卻未藉此機會清楚表達，若是當選市長該如何因應？反而聚焦在誰的幫夫運旺還弱。我倒是很欣賞柯文哲太太「又不是選美」的回應。因為，花絮流彈不會讓台北市更進步，負責任地提出市政願景才是候選人應該做的首要工作。

    我若是台北市長，我要讓孩子們對生長的土地與歷史有正確認識，不至於失去根本，原版本的課綱係經多次專業討論後訂定，毋須修改。因此，我除效法賴神堅拒教育部的立場外，並主張回歸原始課綱，就算真的有修改必要，教育部亦應循公開、專業程序廣開公聽會，供社會各界表示意見，別再討論幫夫運，焦點放在市長能做什麼吧！"
"17","沒執政實力是做不到的～
給謝長廷、姚文智及其高雄執政的團隊ㄧ百個讚啦！
(小編)"
"18","姚文智已公佈五支台北市政CF
分享～姚文智：
我將陸續公布一系列「姚文智翻台北」CF，呼籲所有市長候選人們一起來談市政！

你選市長 我選素長
身為民進黨在台北市唯一的一席立委，帶動台北城市進步的價值與論述，就成為我責無旁貸的任務。「素人選市長，我來選素長！」，我將以「市長」擬參選人的角色，嚴肅地來選一個「素長」！這所謂的「素長」，是政治上真正的素，也是政策的素，是真正直白、不拐彎抹角，不計選票得失、不討好媚俗、專業且負責任地提出市政願景與具體政策。

ㄧ、【姚文智翻台北】廢除松山機場篇
https://www.youtube.com/watch?v=0NO-7OXlGbI&feature=youtube_gdata_player

二、【姚文智翻台北CF2─公辦都更、老城區再生】
我如果是市長，將擴充專業人力與都更基金，至少三十倍的規模，立即展開老舊城區的「公辦都更」！
https://www.youtube.com/watch?v=5AbQq2Tzlrk&feature=youtube_gdata_player

三、【姚文智翻台北CF3─空港變河港篇】
台北市長應該解決都市發展的問題，一言以蔽之就是東區要減壓、西區要再生，松山機場來變身，剛好可以一舉解決這兩件事情的大手術！
https://www.youtube.com/watch?v=CyjQfMxI5LI&feature=youtube_gdata_player

四、【姚文智翻台北】未來的想像：停飛機的地方，改成停船 ！
姚文智公布第四支市政CF：廢除松山機場，停飛機的地方改成停船；推動基隆河、淡水河加速整治，恢復老台北的水路，空港就會變河港；拆除新生高架橋，恢復<U+7460>公圳；加速「社子島開發」，還原祖先留給我們的「水與綠的城市」。
https://www.youtube.com/watch?v=Jf8YsASGg1s&feature=youtube_gdata_player

五、雜貨店之子VS.權貴太子黨
這場首都市政戰爭…
您可以ㄧ起來翻轉…
加入分享～ㄧ起與姚文智翻台北！
姚文智的3D版市政藍圖
http://youtu.be/QFxJnxpznlA

#姚文智翻台北
【姚文智翻台北】
https://www.facebook.com/YaoTurningTaipei

#姚文智翻台北"
"19","「姚文智翻台北」
 
蔡正元在臉書上批柯文哲提的政見「舊空軍總部改建成五千戶社會住宅」，蔡的批評論點簡單來說就是：空總舊址是中央政府的地，台北市不應該用中央的地蓋社會住宅。
 
真沒想到一個久任立委，想選台北市長的人會用這種「可笑至極」的說法！空總舊址是中央政府的地又如何？一塊位於台北市中心約7.15公頃(等於2萬1600坪)的土地，未來想當台北市長的人沒資格發表看法、政見？光憑這點就看出蔡正元迂腐封閉的醬缸心態。蔡是不是認知錯亂，把台灣當成中國？台灣人民的居住、戶口遷移都是自由的，就算空總舊址真的蓋五千戶社會住宅，透過細緻政策規劃，外縣市來台北工作或設籍的公民也都有資格申請，所謂侵害全國人民的權益，真是可笑。
 
中央政府的土地利用，地方政府不可以提出主張嗎？那像華光社區的土地是法務部所有，拆遷利用，臺北市政府該不該有意見？台北機廠是鐵路局所有，廠房打算拆除，臺北市政府要不要有意見？如果在台北的國有地使用，北市府有意見就是台北市民獨享，那像蔡正元主張將松山機場遷移後要開發成第二個信義計畫區的政見豈不是很怪，松山機場是國有的土地，套用蔡的說法松山機場遷移開發就是拿「各縣市共有的土地，不讓各縣市利益共享，拿去蓋商辦、大樓讓台北市民獨享？這符合公平正義嗎？」。
 
蔡正元可能不知道台北市政府手邊可利用的土地有一百多筆，中央國有財產署在台北的國有非公用閒置房屋則有四百多筆，這些土地就是下階段台北都市再生的關鍵，在台北發展遂漸遲緩瓶頸的此刻，這正是下任市長最重要的責任之一。

事實上，我認為要選台北市長的人，都應該主動積極提出台北市內的國有、市有土地、房舍利用的看法，這些公有土地、房舍，除了要用來解決社會住宅不足的問題，還有增加都市綠地、重大公共建設、帶動老舊城區發展的重要任務，像我主張松山機場應變身為中央公園；公有地應加入大街廓公辨都更；華光、台北機場應以文化、生態取向為優先規劃重心，都是思索台北未來的負責任的主張。

蔡正元把國有土地的利用看得太簡單也太僵化了，我再套句他臉書上說的話送還給他：「沒有市政專業的市長還真的很危險！已經有了雙子星案的教訓還不夠嗎？」"
"20","新北市民都能看見台北市長選舉的最大盲點，那台北市民們呢？
我的台北素長選舉還是會繼續堅持帶動市政話題，這也是我說要“翻台北”的最重要目的 。
"
"21","【姚文智翻台北：黨內先投直球，展開市政辯論】

 顧立雄律師提出先在三月進行民調推出黨籍參選人，再於五月與黨外候選人完成三場辯論後進行民調的整合方案，曾表達以參選論市政的立委姚文智表示，顧的方案就是他所提出的「二階段民調」+1，姚文智加碼倡議「黨內也來投直球」，民進黨內有意參選者先辦幾場辯論，帶動台北市政的討論。

    姚文智同時在臉書上公布他的政見CF─「水城台北」，推動基隆河、淡水河加速整治，恢復老台北的水路，空港就會變河港；拆除新生高架橋，恢復<U+7460>公圳；加速「社子島開發」，還原祖先留給我們的「水與綠的城市」。
    
    姚文智表示，松山機場的存廢，老城區的公辦都更與社會住宅，2017世大運，甚至台北未來的產業佈局，這些攸關台北城市未來發展的公共討論，在近8個月市長選舉新聞中徹底消失，令人無法接受。其實，民進黨黨籍候選人都提了政策，卻都被媒體忽略，應藉辯論會帶動台北市的公民論述。

    姚文智說，日前有王丹質疑，今有民眾投書，藍綠陣營在台北市長提名過程中已經走到「忘本」的地步了！「忘了擔任市長的本質問題？當城市治理、市政願景、政策規劃都埋沒在互相放話的口水中，受傷最重的還是台北市民」。姚文智表示，套用投書民眾的話「只有檢視政見，才能選出真正優秀的人才；只有公開辯論，才能讓選民知道誰真正用心於市政」，他期盼所有候選人能夠開始講政策，這才是他參選的最大目的。

    姚文智再度重申，顧的方案就是「二階段民調」+1，他希望中執會及其他黨內擬參選的先進都能同意，大家一起來闡述辯論，爭取市民支持，也負起帶動台北市公共論述的責任，民進黨先這樣做，市民一定會給予掌聲的！"
