"x"
"1","感謝淑芬的姊妹、淑芬的爸爸媽媽、淑芬的阿公阿嬤及淑芬的弟弟妹妹通通支持淑芬"
"2","呼籲政府，應該全額補助學助學貸款的利息，不要讓學生脫貧的教育，變成製造貧窮的根源"
"3","執政黨修訂都更只有一個方向「加速都市更新辦理」，試問「人民的財產權」誰要保障？難道公權力是用來協助財團強取豪奪嗎?"
"4","食用海豹製品本來就不是台灣原本的飲食習慣，台灣也沒有吃豹油的飲食文化，加上海豹油中的Omega3的攝取也可從植物來源取代，所以根本就沒有非殺海豹不可的理由。"
"5",NA
"6","霍加<U+72D3> Okapia

今天寶貝女兒教我的一件事，原來世上有一種動物叫做(霍加<U+72D3>) Okapia
<U+22EF><U+22EF>牠的腳有條紋，牠的舌頭是紫色的，很長
牠的身體是咖啡色，長頸鹿類
是非洲剛果雨林發現的。"
"7","媽媽手冊的印製是政府對婦女或胎兒的照顧，政府表面上說「孩子是傳家寶」，卻連基本的衛教手冊都發不足，根本是「口惠實不至」。"
"8","立法院國民黨開會的奧步詐術，
 如果沒有併案，主席可以誆稱時間不夠
只審查行政院版本後，送二讀會，
其他委員的版本自然就就無限期擱置
只審他們的版本，其他免談!!"
"9","加夢棒???
爸爸睡覺的時候，
女兒說我來幫爸爸加夢
先把弟弟想吃巧克力的夢
夾到袋子裡
再用加夢棒吸出來
滴到爸爸的頭腦裡爸爸就會夢到吃巧克力!!"
"10","白賊出沒‧弱勢注意"
"11","可愛的迷你豬穿雨鞋"
"12","◎21世紀的大惡法！！反新自由主義‧反促參法‧反ＢＯＴ

隨著新自由主義與私有化浪潮，政府自許與民間為協力夥伴，透過「促進民間參與公共建設」法源依據，賦予民間特許權，以BOT、ROT等方式，壟斷國家資源。國家建設階級化，公共服務成為商品，不當的促參將國家─人民權利義務關係，翻轉成國家─廠商─消費者關係，造成國家退位，公共利益淪喪，造成弱勢者買不起。

然而，本次修法，工程會無視於過去案例的問題，不僅大幅開放促參項目，甚至協助自行規劃促參案件縮短流程簡化程序！

明天交通委員會即將審議促參法案，淑芬將竭盡所能守護公共利益！"
"13",NA
"14","看不見的原住民

政治人物眼中看到的人名字叫選票，政治人物分配人民納稅的預算是依據選票多寡，一個不到1萬人的山地鄉如何跟幾十萬人的都市城鎮爭寵，以得到政治人物的關愛眼神？在有限資源下，政客難道會良心發現地在山地鄉大舉建設？在數人頭政治下所謂的民主制度，就是這麼現實。馬英九喜孜孜引以為傲所簽署的人權公約，第1條開宗明義講民族自決，這又何等諷刺？曾經我沒看到這個問題，因為我沒看到原住民，即便自己的大嫂就是原住民，大哥就是原住民文化工作者。"
"15","美麗的老台灣1954年"
"16",NA
"17","淑芬阿姨  !! 這樣叫不介意吧 哈哈  

我昨天有看到你的新聞噢 !! 雖然是很久以前 而且也不怎麼好的 哈哈
你說要把蘆洲國中的書包做T恤  哈哈 "
"18","雖然我不是原民.但還是感謝您為一個弱勢團體爭取福利"
"19","大家都出去過聖誕夜了嗎？

先祝福各位好朋友有個平安快樂的聖誕節唷！
聖誕節快樂！"
"20","來一張鴨嘴獸寶寶"
"21","◎關於NCC的傳聞
在年代綜合台開鍘後，今天立院有人說「NCC內部有鬥爭，分三派：蘇蘅一派，劉崇堅等一派，鍾起惠、翁曉玲等一派....」
我自己的觀察，的確NCC有分派：技術、資本派，及傳播法律派...

倒是，政治界對這件事，意見一面倒，叫做媒體資本(不管資本來自何方)、言論自由擁護派，就是少了人民那一派！

畢竟立委講話是需要傳媒關注幫忙傳播....."
"22","網上看到的不知是甚麼動物??"
"23",NA
"24","偷竊國家財產，登記為國民黨所有的黨產，人民討不回來，還加速變賣銷贓！志清大樓從土地到蓋房子，全由國家編列預算支出，明明房子、土地登記為教育部所有，救國團長期霸佔租金分文不繳也罷，還硬拗說志清大樓是救國團團購買的，真是厚顏。

救國團靠特權、壟斷、生財有道，合理計算年年盈餘超過十億以上，除了發票稅外，並未繳交營所稅，假公益真營利，錢到底跑到哪裡？"
"25","八八風災重創阿里山，山坡地大面積的崩塌，導致鐵軌路基流失。政府卻為了救國團私利，仍執意編列預算修復青年活動中心的聯外道路。看到下列的圖片，難道不該讓山林修養生息，一定要至死方休嗎？圖一是阿里山二萬坪崩塌影像；圖二則是阿里山風災前的影像；圖三則是聯外道路大面積崩塌。"
"26","一個好消息
可愛石虎趴趴走 火炎山大驚喜
日前林務局和日本專家特別前往苗栗縣三義地區，尋訪瀕臨絕種動物「石虎」，但並未能發現。然而在經過三個星期的等待後，終於傳回好消息！新竹林區管理處與特有生物研究保育中心在石虎可能出沒的地點架設自動攝影機，順利在三義火炎山附近拍到一隻在外遊蕩的石虎。環保團體指出，全台石虎的數量不超過一千隻，將全力推動石虎的保護區。(彭清仁報導)


林務局新竹林管處與特有生物保育中心合作，在苗栗三義火炎山地區，進行石虎族群數量的監測研究，選擇石虎可能出沒的地點設置自動照相機，經過將近三個星期的等待，成功拍攝到石虎的蹤影。負責計畫的特有生物保育中心助理研究員林育秀表示，這隻石虎是在火炎山頂附近的草叢內拍到的，令人驚奇的是拍攝時間是近中午時的十一點十五分。由於石虎屬於夜行性的動物，鮮少在白天活動，林育秀研判，這隻被拍到的石虎應該是年輕個體，才會大白天趴趴走。


　新竹林管處指出，石虎不像一般珍稀保育類動物，例如黑熊、山羌、山羊等，喜歡棲息在深山的茂密森林中，相反的，石虎通常出沒在低海拔的次生林環境中，這些區域往往鄰近人類活動的範圍，有時民眾所豢養的家禽會遭受到石虎的襲擊，因此常會用下毒或放捕獸夾的方式來獵殺石虎，以致造成石虎數量大減，林管處也呼籲，石虎是瀕臨絕種的保育類動物，捕殺石虎將觸犯刑責。保育團體對拍到石虎的消息相當振奮，將在三義到通霄的區塊，全力推動石虎的保護區。

http://tw.news.yahoo.com/article/url/d/a/101229/1/2juzr.html"
"27",NA
"28","◎比政府置入新聞更可怕的事！

政府宣稱不再置入性行銷，但是與媒體朋友聊過後，我們更怕馬英九、金溥聰打電話給媒體總編抽新聞。棒子、蘿蔔通通來，再以拉廣告幫忙報社或電視台，這樣操作比較不容易被知道。

國民黨本質並沒有改變，就像88風災時，馬、金兩個好友劉兆玄「民可使由之，不可使知之」的態度，一樣慣於透過政治權力戕害人民、箝制言論自由！"
"29","敬佩的立委, 有回來九份  請公公帶您來燦哥家泡茶哦"
"30","立委您好：這張照片在您們九份家門口所拍攝的,　祝福新年快樂"
"31","想不到吧 蜥蜴也是很可愛的動物"
"32","幾分鐘後，就要和2010年說掰掰，大步迎向2011年新的開始了！
淑芬在這要和各位好朋友們說聲新年快樂！也祝福大家新的一年身體健康、平安順利！

Happy New Year！"
"33","不公平的....有沒有人可以發出聲音...
我們要存多久才能有那些錢!!!~~憤!!!!!"
"34","立法院本週除喧騰多時的二代健保，預計周二院會進行處理外，經濟委員會周一將審查公司法修正案，將加速公司設立登記時程。而躺了近5年的「納稅者權利保護法」，也將在周四財政委員會開始啟動。

95年由前立委王榮璋提案的「納稅者權利保護法」，在躺了5年後，最近因為太極門要求國稅局確保納稅者權益，再度被炒熱，立法院財政委員會6日已排定審查由民進黨立委林淑芬等19人提出的版本，主要在保障納稅義務人的相關權益。(新聞來源：工商時報─記者崔慈悌／台北報導)"
"35","◎納稅向來被視為人民之義務，但是現行制度卻缺乏對其相應權利的保障措施，為了健全稅制、落實納稅者應有的權利保護，以實現課稅公平與程序正義，應刻不容緩推動「納稅者權利保護法」！

http://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcccec9c8cdc5cecdced2cecbcd"
"36","◎「我們所期待的公共媒體」公聽會

保護兒少精神固然重要，但不應成為影像工作者創作的緊箍咒。畢竟，每部影片從取景的選擇、符號的運用、劇情的安排都出自於影像工作者巧思，是導演對於真實社會獨到的觀察與見解。公共電視加強內容審查，這個需要剪、那個不能拍，最後呈現的畫面究竟又是誰的觀點？明顯違背了公共電視法開宗明義保障多元文化價值的精神。

NCC僅就民眾檢舉影片內有不雅文字、畫面就進行裁罰、警告，似乎過於形式審查，而是應實質了解，為何需要有這段文字、畫面的安排。

就如同導演們所說，演流氓不說三字經難道要說文言文嗎？
"
"37","◎韓劇充斥 立委林淑芬提案增台劇比率

各電視台充斥韓劇、大陸劇，本土戲劇寥寥可數，讓民進黨立委林淑芬看不下去，因此連署提出《有線廣播電視法》修正草案，要求各電視台本國自製節目比率由現行「不得低於百分之二十」，提高一倍，成為「不得低於百分之四十」。朝野立委、演藝工會均支持修法，希望下會期就能通過此案。

演藝工會理事長康凱表示，電視台大量購買外來劇剝奪本土藝人工作機會，應負起責任製作高品質自製節目。身兼全國藝能總工會理事長的民進黨立委余天認為，電視台不應沒能力製作節目，修法能增加本土藝人工作機會，會支持修法。愛看韓劇的民眾戴憶筑說：「鼓勵本土劇很好，但品質要精緻，很多人是因為本土偶像劇拍太差，才去看韓劇。」 



"
"38","製作優良戲劇是頻道業者與政府無可迴避的責任！"
"39","關心BOT的朋友，公共工程委員預計農曆春節後，舉辦【促進民間參與公共建設案件總體檢公聽會】。工程會請立法委員於2週內推薦專家學者或機關團體名單，有意願的朋友可與辦公室聯繫。"
"40","兔年來了"
"41","修個有線電視法要求業者提升自製比例，怎麼會變成反韓劇呢？新聞見報後，不見新聞局、NCC的回應，反倒是韓國政府超迅速！連續三天分別接到「韓國聯合通訊社」、YTN(聯合電視新聞)、駐台韓國代表部的電話，唉~ 真是苦不堪言......."
"42","保護台灣自己的文化，不能再放任自由市場！"
