"x"
"1","新粉絲團成立~ 歡迎大家舊雨新知~ 一起跟學聖耕耘這個園地!"
"2",NA
"3","有鑑於「繁星推薦」第二階段甄試日期過於集中且撞期問題嚴重,影響到學生及家長權益,如有家長也遭遇到此問題,學聖希望您能在這三天內將碰到的問題告知國會辦公室,讓學聖能對教育部提出質詢,並要求改進,保障學生與家長的權益.
http://apollochen0928.blogspot.com/2012/03/blog-post.html"
"4",NA
"5",NA
"6","根據本次2月11日中壢大停水事件,自來水公司發布事後檢討及改善.

本次因工程進度落後,無法於公告停水期限內完成新舊管聯絡點改接施工,造成用戶停水,檢討仍有須改善作為如下:
1. 錯估現場管線布設探挖資訊,並過於樂觀.

2. 發現現場狀況未若預期,施工承商專業評估可依原設計DIP管及另件施工,而未及時變更工法改以鋼管施工,延遲工程進度.

3. 桃園縣市區道路狹窄,交通流量甚大,為降低風險,爾後重要路口管線連接工程,除事前探挖要確實外,並須邀集相關單位召開停水,施工協調會,確定施工期程及風險評估,另相關因應突發狀況亦須備妥整體性配套措施(如:停水施工即時訊息通告村里長,鋼管配料,及焊接承商,水車,加水站…等),以因應施工中突發狀況,做好供水風險評估及危機管理,務必做到最佳用戶服務."
"7","陳學聖委員立院新聞 - \"關心政府有條件開放美牛進口，擔心國中小學生是否會在營養午餐中吃到美牛風險。\""
"8","陳學聖委員立院新聞 - \"一○三年預計免試比率要達七十五%，教育部不應把明星和偏鄉名額混在一起\""
"9","學聖今日於中壢龍和參加桃園縣中壢市婦女會101年表揚暨會員大會~與本年度模範婆媳當選人吳秋香女士合照~"
"10","新設置影音專區,內有提供最新有關學聖的問政影音.  歡迎各位點閱."
"11",NA
"12","有人提問: 中壢跟桃園每天都有大量的上班族藉由火車或客運前往台北地區工作，雖說台鐵有密集加開班次輸運，路程也約在40至50分鐘間可到達台北，但上班尖峰時間電車從中壢開始就不太可能有座位，上班族就必須擠成沙丁魚，一路塞到台北，很辛苦。若尖峰時間能有一班直達車可只停中壢、桃園，不但可以紓解電車的擁擠，更可以加快上班族通勤的時間，縮短到30分鐘內。 不知道大家對於這個問題,還有沒有其他的意見? 學聖本人想整合後,做一個通盤的規劃. 感謝"
"13","2012 03 09 陳學聖委員總質詢 --- 行政院長 陳<U+51B2>"
"14",NA
"15","2012 03 12 陳學聖委員質詢 -- 國科會"
"16","新聞分享: 捐助俄視障團體 陳學聖堅持14年"
"17","至2月份自來水公司因施工不當,造成中壢部分區域大停水,經學聖與自來水公司多次溝通後,自來水公司接受學聖的建議,於本月15日於自來水公司中壢服務處(延平路394號4F)召開第一次\"與里民有約座談會\",所以歡迎鄉親踴躍參加,表達意見."
"18","
2012-03-14╱聯合報╱第B1版╱桃園．運動╱記者劉愛生∕中壢報導	
http://udn.com/NEWS/DOMESTIC/DOM3/6960401.shtml  
 	
軍備局撥地 自立國小設人行道

　　國防部軍備局昨天同意立委陳學聖的要求，無償提供、退讓內壢軍備局營區土地，讓中壢市自立國小側旁增設一條人行道，方便小朋友上下學。

　　陳學聖表示，將盡速邀請國防部軍備局、國防部事業管理處、中壢市公所等單位協商，1個月內丈量決定，興建人行道的確實需要用地面積，並對軍方衍生的損失，例如圍牆的代拆代建、水溝重建等，也一併提出完整計畫，早日完成自立國小的人行通道。

　　陳學聖表示，中壢市自立國小學童眾多，一邊又有自立社區，為維護學童與民眾行的安全，中壢市民代表陳定國等人，曾多次與軍方協調，提出軍備局營區退縮圍牆，增設人行道，可惜會勘多次均未能如願解決。

　　陳學聖昨天與國防部有關單位一同討論，終於做出結論，軍方同意無償撥地，中壢市公所及自立國小校方獲悉後均表欣慰，自立國小旁終將有一條通往自立社區的安全無慮人行道。

 
"
"19",NA
"20","文教力量，即刻不能等！"
"21","錢薇娟備詢 立委請她分析尼克"
"22","2012 03 15 陳學聖委員質詢 體委會 關鍵字 \"「如何培養像林書豪這樣的球員？」\",\"「政府幫了旅外球員什麼？」\",\"「退役球員下一步在哪？」\""
"23","2012 03 14 陳學聖委員質詢 -- 原能會"
"24","馬祖新村眷村文化保存及運動公園生活園區辦理情形"
"25","陳學聖：「貸款」考驗青年"
"26","青埔地區航高管制解除辦理情形
"
"27","桃園棒球場外野看台增建工程辦理情形 "
"28","由於本星期四(22日)教育文化委員會將邀請教育部部長列席就\"12年國民基本教育推動目標及法令面,政策面工具完備與否檢討\"提出報告,因此學聖希望大家如果對此議題有任何看法及意見,能於明天下午五點前在此提出. 感謝大家."
"29","桃園鐵路問題: 目前彙整問題如下(請問大家還有任何意見嗎?)
1. 直達車可只停中壢、桃園，不但可以紓解電車的擁擠，更可以加快上班族通勤的時間，縮短到30分鐘內。

2. 台鐵有一般特快自強號 建議台鐵加曾中壢站停車

3. 內壢站只能搭區間車,選擇上比中壢,桃園更少

4. 可增加公車班次到新莊轉搭捷運。公車太少了，很多人也許只到迴龍、樹林、板橋。

5. 龜山的公車路線班次不明又少，不管往來南北皆不便。

6. 台鐵已賺了這麼多錢，是不是該注意老人、行動不便的福利，大官都看不到低層生活為交通所苦嗎？

7. 台北市的公車網絡密集
 
8. 台鐵只有樓梯通行，行動不便者難行

9. 比照基隆，開一班中壢只停內壢往台北的直達電車

10. 假日尖峰時段也是誇張的擁擠！

11. 希望可以增加台北桃園中壢間的交通效率 我覺得高架化進行可能可以進步很多 步知道目前高架化的進度如何?

12. 台鐵何時可以在平鎮和中壢改成高架化?平鎮的平交道感覺好危險!上次楊梅才發生太魯閣號撞車事件,仍餘悸猶存!而且每次經過平交道時老是在等火車,浪費好多時間!"
"30","2012 03 19 陳學聖委員質詢 青輔會"
"31","教育部就12年國教升學方式回覆"
"32","大陸留學生多 陳學聖：可創造經濟產值"
"33","在地立委，心心相連 "
"34","陳學聖展示私校入學考參加人數爆滿的照片，批評教育部對於12國教宣導不彰，讓學生與家長不安。"
"35","如果鄉親想更了解12年國教詳細情形,可於3月30日開始至中壢服務處索取紙本資料. 感謝"
"36","學聖就「十二年國民基本教育推動目標及法令面、政策面工具完備與否檢討」質詢"
"37",NA
"38",NA
"39",NA
"40","明天教育部部長將就\"幼兒教育及照顧法公布實施後,相關子法配套措施執行情\"提出報告,不知道大家有甚麼意見及看法?"
"41","就自學生受教權之問題及解釋"
"42","2012 03 26 陳學聖委員質詢 故宮院長(消合社)"
"43","新聞剪報 --- 配合幼照法施行 教育部擬「4年優質教保計畫」"
"44","12年國教專業報告書已經印製完畢,有興趣的朋友們即日起即可到中壢服務處索取."
"45","2012 03 28 陳學聖委員質詢 教育部長(12年國教.自學生,幼教法) 

12年國教
立法委員陳學聖今天在教育文化委員會指出，12年國教應該注重推動多元教育的本質，不應該讓家長與學生陷入記功嘉獎的功利思維當中，且陳委員也引用馬總統在台中座談會的意見表示，明星高中並不會因為12年國教而消失，但要求教育部在推動過程中所引發的相關問題與配套，都應該審慎為之，務求讓未來的下一代都能得到最妥善的教育資源。
 
在家自學
立法委員陳學聖今天在教育文化委員會指出，在家自學完全符合目前教育部所推動12年國教的多元精神，但教育部卻引用僵化的學歷審核標準，讓已經考上大學的自學生因此無法進入大學就讀，與推動多元教育入學的精神背道而馳，陳委員要求教育部長在一個月內提出因應方案，並且獲得教育部長蔣偉寧的承諾，陳學聖委員會繼續追蹤此議題，畢竟孩子的教育不能重來，不能讓錯誤的政策影響孩子的受教權益。

幼托整合
工作權與待遇問題整體而言，由於薪資偏低、福利又差又無工作保障等因素，幼稚園教師的流動量大、且流失率高，造成幼教師資供需間的嚴重不平衡。為了幼教的教育品質，必須保障其基本權益及合理的薪資福利。
"
"46","陳學聖協助五權里民爭取五楊高架北上P14N至P20N路段設築護坡擋土牆案 "
"47","愛是一種傳承 "
"48","就經濟部部於今日凌晨突擊式宣布油價調漲事宜一事,學聖今日於教育委員會質詢時特別讚揚教育部長於學費凍漲上之堅持,並特別提到經濟部於此事上之不妥,並提案要求政府部門未來於調整相關費用時,必須先至立法院委員會報告."
"49","馬臉書PO文 油電雙漲政策辯護"
"50","012 04 02 陳學聖委員質詢 教育部長學費調整,高等教育資源分配"
"51","全力爭取民國103年全國中等學校運動會在桃園"
"52","教育為國家大計"
"53","2012 04 5 陳學聖委員質詢 教育部長(免試升學,能力分班)"
"54","教長視察中壢 允協助改善設施 "
"55",NA
"56","14年不間斷的愛心"
"57",NA
"58","麥田計畫 - 立法委員陳學聖"
"59","中壢就業服務站 中型徵才活動

中壢就業服務站訂於101年4月18日（星期三）上午9時至11時30分辦理中型徵才活動，敬請 惠予廣為宣導並鼓勵應屆畢業生或畢業校友踴躍前往參加

說 明： 
一、 活動地點：龍潭鄉公所3樓（桃園縣龍潭鄉210號）。 
二、 活動計邀友達光電股份有限公司共15家廠商，職缺共計800個以上。 
三、 檢附本徵才活動宣導海報（如附件），請 惠予協助張貼宣導。 
四、 活動詳情請洽本中心中壢就業服務站（服務電話：03-4681106轉234，聯絡人：林健民）。"
"60","馬兩節吧"
"61","2012 04 16 陳學聖委員質詢 原能會主委、經濟部及台電業務主管"
"62","中壢服務處: 桃園機場捷運相關問題"
"63","中壢天德宮101年度書法比賽"
"64","陳學聖委員質詢學貸四法,性別平等教育part1"
"65","2012 04 18 陳學聖委員質詢學貸四法,性別平等教育Part2"
"66","2012 04 19 陳學聖委員質詢科技部組織法草案"
"67","http://youtu.be/HH1I8S-enb4"
"68","14：00準備上中天新聞『新台灣星光大道』！"
"69","幼兒教育及照顧法"
"70","搶救觀音藻礁記者會暨公聽會"
"71","2012 04 23 陳學聖委員質詢體委會"
"72","防過勞 學聖跨黨派聯手提案勞衛法修正案"
"73","一個人權標準 檢視兩岸政府"
"74","2012 04 30 陳學聖委員質詢(文化部成立及業務整合進度)"
"75","2012 05 02 陳學聖委員質詢(大專校院非典型勞動現況及其勞動權保障之檢討)"
"76","國道一號增設中豐交流道案辦理情形"
"77","推動國內視障生多元安置教育政策"
"78","陸光六村眷舍拆除案
"
