學校類型,學校代碼,學校名稱,縣市別,"學生宿舍床位數
(床)","自有宿舍床位數
(床)","教職員宿舍單身床位
(床)","教職員宿舍有眷戶數
(戶)",可使用校地-校舍基地(平方公尺),"可使用校地-露天運動場地
(平方公尺)","可使用校地-其他校地
(平方公尺)","無法使用校地
(平方公尺)"
國立大學,0001,國立政治大學,臺北市,6698,6698,68,99,89646,70032,914414,19192
國立大學,0002,國立清華大學,臺北市,0,0,0,0,1176,0,807,0
國立大學,0002,國立清華大學,新竹縣,0,0,0,0,0,0,0,101134
國立大學,0002,國立清華大學,新竹市,8391,8391,208,301,139494,48113,848341,0
國立大學,0003,國立臺灣大學,臺北市,8640,8640,72,730,471921,33529,862834,0
國立大學,0004,國立臺灣師範大學,新北市,0,0,1,13,25578,38552,245177,0
國立大學,0004,國立臺灣師範大學,臺北市,4145,4145,12,19,112097,55314,56234,0
國立大學,0005,國立成功大學,臺南市,6535,6535,110,129,238668,45345,1571735,0
國立大學,0006,國立中興大學,臺中市,3298,3298,106,131,100470,30909,400146,0
國立大學,0007,國立交通大學,臺北市,0,0,0,0,1172,0,621,0
國立大學,0007,國立交通大學,臺南市,100,30,0,0,3752,550,77689,0
國立大學,0007,國立交通大學,新竹縣,0,0,0,0,3477,0,21524,0
國立大學,0007,國立交通大學,新竹市,7563,7563,165,139,102958,97928,569217,0
國立大學,0008,國立中央大學,新北市,0,0,0,0,0,0,104,0
國立大學,0008,國立中央大學,臺北市,0,0,0,0,0,0,30,0
國立大學,0008,國立中央大學,桃園市,6208,6208,107,242,102617,22143,490174,0
國立大學,0008,國立中央大學,宜蘭縣,0,0,0,0,0,0,19,0
國立大學,0008,國立中央大學,新竹縣,0,0,0,0,0,0,15,0
國立大學,0008,國立中央大學,南投縣,0,0,0,0,195,0,735,0
國立大學,0008,國立中央大學,嘉義縣,0,0,0,0,134,0,815,0
國立大學,0008,國立中央大學,屏東縣,0,0,0,0,0,0,15,0
國立大學,0008,國立中央大學,臺東縣,0,0,0,0,0,0,15,0
國立大學,0008,國立中央大學,基隆市,0,0,0,0,0,0,15,0
國立大學,0009,國立中山大學,高雄市,4140,4140,57,91,64530,70000,154939,444628
國立大學,0012,國立臺灣海洋大學,基隆市,2915,2915,20,21,53299,15383,173571,86422
國立大學,0013,國立中正大學,臺北市,0,0,0,0,33,0,0,0
國立大學,0013,國立中正大學,嘉義縣,3735,3735,116,221,121975,12738,1171243,0
國立大學,0013,國立中正大學,嘉義市,0,0,0,0,618,0,682,0
國立大學,0014,國立高雄師範大學,高雄市,3550,3550,24,55,130740,33837,481987,0
國立大學,0015,國立彰化師範大學,臺中市,0,0,0,6,283,0,234,0
國立大學,0015,國立彰化師範大學,彰化縣,2652,2652,64,50,45863,33647,436744,0
國立大學,0016,國立陽明大學,臺北市,2453,2453,29,123,41918,28740,429007,0
國立大學,0017,國立臺北大學,新北市,1060,1060,0,0,28940,23158,493186,0
